date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,sequencing_system,flowcell_type,workflow,fastq_workflow,notes,original 
2023_02_26,TRUE,channel1,FF04678012_1,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-A10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230226_SL-NVY_0579_BHCMCJDSX5_arcfastqs/fastq_path/HCMCJDSX5/FF04678012_1_atac,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,resequencing assessment,FF04679363
2023_02_26,TRUE,channel1,FF04679584_1,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-B10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230226_SL-NVY_0579_BHCMCJDSX5_arcfastqs/fastq_path/HCMCJDSX5/FF04679584_1_atac,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,resequencing assessment,FF04678215
2023_02_26,TRUE,channel1,FF04678215_1,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-C10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230226_SL-NVY_0579_BHCMCJDSX5_arcfastqs/fastq_path/HCMCJDSX5/FF04678215_1_atac,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,resequencing assessment,FF04679584
2023_02_26,TRUE,channel1,FF04679363_1,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-D10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230226_SL-NVY_0579_BHCMCJDSX5_arcfastqs/fastq_path/HCMCJDSX5/FF04679363_1_atac,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,resequencing assessment,FF04678012
2023_02_26,FALSE,channel1,FF09147402,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-A9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230226_SL-NVY_0579_BHCMCJDSX5_arcfastqs/fastq_path/HCMCJDSX5/,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,found,FF09147402
2023_02_26,FALSE,channel1,FF04677871,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-B9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230226_SL-NVY_0579_BHCMCJDSX5_arcfastqs/fastq_path/HCMCJDSX5/,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,found,FF04677871
2023_02_26,FALSE,channel1,FF04677809,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-C9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230226_SL-NVY_0579_BHCMCJDSX5_arcfastqs/fastq_path/HCMCJDSX5/,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,found,FF04677809
2023_02_26,FALSE,channel1,FF03154942,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-D9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230226_SL-NVY_0579_BHCMCJDSX5_arcfastqs/fastq_path/HCMCJDSX5/,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,found,FF03154942
2023_02_26,FALSE,channel1,FF03154958,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-E9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230226_SL-NVY_0579_BHCMCJDSX5_arcfastqs/fastq_path/HCMCJDSX5/,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,found,FF03154958
2023_02_26,FALSE,channel1,FF04678216,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230226_SL-NVY_0579_BHCMCJDSX5_arcfastqs/fastq_path/HCMCJDSX5,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,found,FF04678216
2023_02_26,FALSE,channel1,FF03154986,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-G9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230226_SL-NVY_0579_BHCMCJDSX5_arcfastqs/fastq_path/HCMCJDSX5/,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,found,FF03154986
2023_02_26,FALSE,channel1,FF04678185,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-H9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230226_SL-NVY_0579_BHCMCJDSX5_arcfastqs/fastq_path/HCMCJDSX5/,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,found,FF04678185
2023_02_26,TRUE,channel1,FF04678012_1,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-F11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,HCMJGDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230226_SL-NSE_0596_BHCMJGDSX5_arcfastqs/fastq_path/HCMJGDSX5,400,200,20,1000,20000,,,,TRUE,batch2,NovaSeq6000,S4,,mkfastq,resequencing assessment,
